Name,latitude,longitude
Piz Mundin (3146 m),46.92527778,10.43083333
Dreischusterspitze (3145 m),46.66888889,12.31722222
Napfspitze (3144 m),47.06000000,12.03972222
Piz Tea Fondada / Monte Cornaccia (3144 m),46.54944444,10.30805556
Cime du Gélas / Monte Gelàs (3143 m),44.12305556,7.38472222
Jochköpfl (3143 m),46.92750000,11.10777778
Monte Cassa del Ferro (3140 m),46.57861111,10.20166667
Cima Tosa (3140 m),46.15527778,10.87055556
Cime Redasco (3139 m),46.36944444,10.30777778
Gross Ruchen (3138 m),46.81027778,8.77472222
Durreck (3135 m),46.96111111,12.02888889
Wilde Kreuzspitze (3135 m),46.91250000,11.59333333
Großer Friedrichskopf (3134 m),46.95777778,12.82861111
Hinter Schloss (3133 m),46.80250000,8.52694444
Pizzo Filone (3133 m),46.45750000,10.16333333
Oldenhorn (3132 m),46.32916667,7.22166667
Mont Chaberton (3131 m),44.96472222,6.75166667
Piz Duan (3131 m),46.37527778,9.58333333
Pte Léchaud (3128 m),45.73361111,6.81416667
Grohmannspitze (3126 m),46.51055556,11.73361111
Piz Schumbraida (3125 m),46.54277778,10.33833333
Fanellhorn (3124 m),46.54777778,9.13055556
Piz Nuna (3123 m),46.72333333,10.15444444
Schareck (3123 m),47.04138889,13.01750000
Groß Seehorn (3122 m),46.88777778,10.03250000
Piz Aul (3121 m),46.62277778,9.12500000
Piz da l'Acqua (3118 m),46.61111111,10.13888889
Grand Pinier (3117 m),44.72361111,6.40166667
Schermerspitze (3116 m),46.88777778,11.08444444
Grand Queyras (3114 m),44.71555556,6.95194444
Luibiskogel (3110 m),47.04972222,10.90416667
Monte Servin (3108 m),45.26472222,7.19972222
Krönten (3108 m),46.78222222,8.56944444
Gletscherhorn (3107 m),46.38750000,9.56055556
Pizz Gallagiun / Galleggione (3107 m),46.36694444,9.48777778
Ochsner (3107 m),47.04388889,11.81555556
Tête de Moïse (3104 m),44.44055556,6.93500000
Piz la Stretta / Monte Breva (3104 m),46.47666667,10.04472222
Große Ohrenspitze (3101 m),46.90694444,12.17750000
Piz Segnas (3099 m),46.90777778,9.23972222
Mont Ouille (3090 m),45.73166667,6.86638889
Lasörling (3098 m),46.97583333,12.35527778
Pte des Cerces (3098 m),45.06555556,6.48833333
Pic des Souffles (3098 m),44.86500000,6.13333333
Monte Matto (3097 m),44.22500000,7.25638889
Pflerscher Tribulaun (3097 m),46.98527778,11.33916667
Blockkogel (3097 m),47.08527778,10.88055556
Piz Giuv / Schattig Wichel (3096 m),46.70194444,8.69250000
Mont Buet (3096 m),46.02472222,6.85277778
Zwölferkofel / Croda dei Toni (3094 m),46.61916667,12.35972222
Elferkofel / Cima Undici (3092 m),46.63638889,12.37833333
Racherin (3092 m),47.08111111,12.79444444
Crête de Chambave (3090 m),45.80555556,7.03861111
Tête de la Courbe (3089 m),44.49777778,6.82333333
Vesulspitze (3089 m),47.00166667,10.34916667
Monte Forcellina (3087 m),46.46638889,10.19861111
Hohe Villerspitze (3087 m),47.10666667,11.16555556
Flüela Wisshorn (3085 m),46.76222222,9.96666667
Cima da Lägh / Cima di Lago (3083 m),46.37638889,9.46111111
Zwieselbacher Rosskogel (3081 m),47.16333333,11.04805556
Fundusfeiler (3079 m),47.11222222,10.87027778
Chüealphorn (3078 m),46.68527778,9.90527778
Mont Néry / Neryschthuare (3076 m),45.71583333,7.82000000
Großer Hafner (3076 m),47.07000000,13.40083333
Pic de Parières (3076 m),44.77944444,6.24083333
Piz Starlex (3075 m),46.66277778,10.39250000
Piz Sena (3075 m),46.35305556,10.11000000
Bristen (3073 m),46.73694444,8.68111111
Wildkarspitze (3073 m),47.17250000,12.13916667
Pizzo Campo Tencia (3072 m),46.42972222,8.72611111
Chüebodenhorn (3070 m),46.50805556,8.45305556
Tête de la Cassille (3069 m),45.04388889,6.49944444
La Meyna (3067 m),44.48111111,6.85861111
Geltenhorn (3065 m),46.34638889,7.33444444
Cunturines / Conturines (3064 m),46.57583333,11.97777778
Hoher Prijakt (3064 m),46.91555556,12.71277778
Pte des Rochers Charniers (3063 m),44.98777778,6.73555556
Hoch Ducan (3063 m),46.68944444,9.85138889
Mont Fallère (3061 m),45.77555556,7.19416667
Pizzo Gallina (3061 m),46.49472222,8.39194444
Seeköpfe (3061 m),47.04444444,10.26750000
Piz Grisch (3060 m),46.53111111,9.47277778
Rosenspitze (3049 m),46.98833333,12.25444444
Grand Queyron (3060 m),44.84277778,7.00166667
Grabspitze (3059 m),46.93861111,11.61444444
Monte Vago (3059 m),46.44083333,10.07888889
Sasso Vernale (3058 m),46.41888889,11.84055556
Bruschghorn (3056 m),46.63111111,9.30666667
Patteriol (3056 m),47.04416667,10.18750000
Aig des Corneillets (3055 m),45.32250000,6.66138889
Innere Wetterspitze (3053 m),46.99638889,11.24638889
Piz Forun (3052 m),46.65527778,9.86500000
Grand Muveran (3051 m),46.23722222,7.12611111
Mont Pelat (3051 m),44.26500000,6.70583333
Pizzo Coca (3050 m),46.07166667,10.01138889
Piz Minor (3049 m),46.45111111,10.02833333
Gross Lohner (3049 m),46.46194444,7.60000000
Le Rochail (Pte de Malhaubert) (3049 m),44.97527778,6.03250000
Aig du Fruit (3048 m),45.35555556,6.63138889
Grand Argentier / Pta Nera (3046 m),45.12222222,6.65861111
Grand Bérard (3046 m),44.44944444,6.65972222
Piz Murtera (3044 m),46.77527778,10.04027778
