name,altitude,latitude,longitude,view_possible
M. Morion / Rion: Pointe Monro ,3505.0,45.88138889,7.36777778,True
Galmihorn ,3505.0,46.50666667,8.185,True
Becca di Luseney / Pic de Luseney ,3503.0,45.87055556,7.49111111,True
Sustenhorn ,3503.0,46.69888889,8.45527778,False
Dreiherrnspitze ,3499.0,47.06916667,12.24083333,False
Schrankogel ,3497.0,47.04388889,11.09916667,False
Rötspitze ,3496.0,47.02694444,12.20527778,False
Grande Traversière ,3496.0,45.52305556,7.05583333,True
Grand Nomenon ,3488.0,45.61194444,7.23611111,True
Sonnighorn / Pizzo Bottarello ,3487.0,46.07416667,8.02222222,False
Testa del Rutor ,3486.0,45.63083333,7.01444444,True
Grande Aig. Rousse ,3482.0,45.43305556,7.10972222,True
Pic de Bonvoisin ,3481.0,44.82361111,6.34694444,False
Großer Möseler ,3480.0,46.9925,11.78194444,False
Hochwilde ,3480.0,46.76555556,11.02222222,False
Olperer ,3476.0,47.05305556,11.65888889,False
Ruderhofspitze ,3474.0,47.03944444,11.14333333,False
Hinterer Seelenkogel ,3472.0,46.80166667,11.04444444,False
Grande Rousse S (Pic Bayle) ,3465.0,45.13777778,6.13583333,True
Roche de la Muzelle ,3465.0,44.93111111,6.10666667,True
Pic de l'Étendard ,3464.0,45.15444444,6.14388889,True
Carè Alto ,3463.0,46.10805556,10.59611111,False
Pic Garin ,3462.0,45.65583333,7.3775,True
Vordere Ölgrubenspitze ,3456.0,46.90833333,10.77333333,False
Bliggspitze ,3453.0,46.91805556,10.78611111,False
Johannisberg ,3453.0,47.10944444,12.67277778,False
Piz Corvatsch ,3451.0,46.40833333,9.81611111,False
Rinderhorn ,3448.0,46.41361111,7.65416667,True
Wasenhorn ,3447.0,46.49805556,8.16583333,True
Pointe de l'Aouillé ,3446.0,45.52666667,7.14805556,True
Hintere Eggenspitze / Cima Sternai ,3443.0,46.47777778,10.77055556,False
Roc du Mulinet ,3442.0,45.38083333,7.16277778,True
Sirac ,3441.0,44.78972222,6.30694444,False
Piz Tremoggia ,3441.0,46.35194444,9.82194444,False
Dosson di Genova ,3441.0,46.14861111,10.55361111,False
Truc Blanc ,3440.0,45.58722222,7.16722222,True
Cima de' Piazzi ,3439.0,46.41666667,10.285,False
Lagaunspitze ,3439.0,46.73916667,10.73916667,False
Zufrittspitze ,3439.0,46.50194444,10.78222222,False
Hochgall ,3436.0,46.91083333,12.13972222,False
Gspaltenhorn ,3436.0,46.51166667,7.8275,True
Stellihorn ,3436.0,46.03638889,8.00083333,False
Pte de la Sana ,3436.0,45.385,6.91805556,True
Verpeilspitze ,3425.0,47.00333333,10.805,False
Pte de l'Échelle ,3422.0,45.26916667,6.68527778,True
Aig. du Goleon ,3422.0,45.10361111,6.32638889,True
Aig. de l'Épéna ,3421.0,45.41472222,6.81722222,True
Pics du Says ,3420.0,44.87388889,6.30583333,True
Bifertenstock / Piz Durschin ,3419.0,46.80444444,8.9575,True
Piz Kesch / Piz d' Es-Cha ,3418.0,46.62138889,9.87277778,False
Sommet de Bellecôte ,3417.0,45.4925,6.7825,True
Fleckistock / Rot Stock ,3416.0,46.7075,8.4975,False
Pte du Bouchet ,3416.0,45.25416667,6.60416667,True
Aig. de Chambeyron ,3412.0,44.54777778,6.85666667,True
Piz Linard ,3411.0,46.79888889,10.07166667,False
Schrammacher ,3410.0,47.02694444,11.64305556,False
Hochfirst ,3403.0,46.82666667,11.08111111,False
Rheinwaldhorn ,3402.0,46.49361111,9.04027778,False
Aigs des Arias ,3402.0,44.89555556,6.17416667,False
Fluchthorn ,3399.0,46.89083333,10.2275,False
Piz Calderas ,3397.0,46.53638889,9.69583333,False
Großer Bärenkopf ,3396.0,47.13083333,12.73166667,False
Hohe Geige ,3395.0,47.00472222,10.90861111,False
Piz Platta ,3392.0,46.48722222,9.56166667,False
Brec de Chambeyron ,3389.0,44.52805556,6.85333333,True
Diechterhorn ,3389.0,46.64861111,8.36055556,False
Veneziaspitze / Cima Venezia ,3386.0,46.45388889,10.68916667,False
Pic Nord de la Font Sancte ,3385.0,44.605,6.80027778,True
Punta di Fontanella ,3384.0,45.90611111,7.55583333,True
Pta Sulè ,3384.0,45.23138889,7.1375,True
Rognosa d'Etiache / d'Étache ,3383.0,45.13472222,6.83388889,True
Piz Güglia / Piz Julier ,3380.0,46.49111111,9.75972222,False
Grand Tournalin ,3379.0,45.87166667,7.68805556,True
Güferhorn ,3379.0,46.5125,9.06305556,False
Cima di Castello ,3379.0,46.30305556,9.67694444,False
Großer Löffler ,3379.0,47.0325,11.91583333,False
Mont d'Ambin / Rocca d'Ambin ,3378.0,45.15666667,6.88444444,True
Cima Viola ,3374.0,46.38361111,10.19638889,False
Blinnenhorn / Corno Cieco ,3374.0,46.42583333,8.30777778,True
Hoher Eichham ,3371.0,47.05388889,12.40666667,False
Monte Confinale ,3370.0,46.44944444,10.50444444,False
Pizzo Cengalo ,3369.0,46.295,9.60194444,False
Schwarzenstein ,3369.0,47.01,11.87416667,False
Hoher Tenn ,3368.0,47.17972222,12.75944444,False
Malhamspitzen ,3368.0,47.04916667,12.25944444,False
Egginer ,3367.0,46.07527778,7.93,False
Innere Schwarze Schneid ,3367.0,46.92416667,10.92138889,False
Piz Fora ,3363.0,46.34083333,9.78472222,False
Hochalmspitze ,3360.0,47.015,13.32111111,False
Corno dei Tre Signori ,3360.0,46.34305556,10.51555556,False
Großer Geiger ,3360.0,47.09305556,12.30888889,False
Wilde Leck ,3359.0,47.00277778,11.0625,False
Schneebiger Nock / Ruthnerhorn ,3358.0,46.90527778,12.08416667,False
Grande Roise ,3357.0,45.67527778,7.42305556,True
Rofelewand ,3353.0,47.0325,10.81833333,False
Glockturm ,3353.0,46.89333333,10.66555556,False
Puitkogel ,3345.0,46.98138889,10.90138889,False
Marmolada (Pta Penia) ,3343.0,46.43472222,11.85083333,False
Bric de Rubren / Mongioia ,3340.0,44.62,6.94972222,True
Piz Ela ,3339.0,46.60194444,9.7075,False
Roteck ,3337.0,46.72361111,10.98416667,False
Pta Sommeiller ,3332.0,45.12833333,6.8525,True
Fuscherkarkopf ,3331.0,47.09888889,12.74555556,False
Corno Baitone ,3330.0,46.17305556,10.44111111,False
Mont Fort ,3329.0,46.08111111,7.31861111,True
Grande Rochère ,3328.0,45.81361111,7.06138889,True
Oberalpstock ,3328.0,46.74277778,8.76944444,True
Busazza ,3326.0,46.22388889,10.61111111,False
Tête de Lauranoure ,3325.0,44.92638889,6.15194444,False
Pizzo Scalino ,3323.0,46.27861111,9.97361111,False
Pic de Rochebrune ,3320.0,44.8225,6.78777778,True
Corno Bianco ,3320.0,45.82277778,7.87916667,True
Groabhopt / Testa Grigia / Tête grise ,3315.0,45.83083333,7.78666667,True
Mont Giusalet ,3312.0,45.18055556,6.93,True
Piz Buin ,3312.0,46.84416667,10.11861111,False
Mont Pelve ,3312.0,45.35611111,6.77666667,True
Pta Lavina ,3308.0,45.55555556,7.44861111,True
Pte de l'Aiglière ,3307.0,44.81027778,6.41472222,True
Laaser Spitze / Orgelspitze ,3305.0,46.56194444,10.71777778,False
Reichenspitze ,3303.0,47.13944444,12.11083333,False
Piz Paradisin ,3302.0,46.42611111,10.11722222,False
Pta Ramiere / Bric Froid ,3302.0,44.86416667,6.93166667,True
Becca de Tos ,3301.0,45.63027778,7.10666667,True
Verstanclahorn ,3298.0,46.835,10.0725,False
Cima Sud Argentera ,3297.0,44.17805556,7.30583333,True
Monte Sobretta ,3296.0,46.3975,10.43694444,False
Strahlkogel ,3295.0,47.10916667,11.01944444,False
Gross Schärhorn ,3294.0,46.82722222,8.82916667,True
Muttler ,3293.0,46.90055556,10.37861111,False
Grand Glaiza / Pta Merciantaira ,3293.0,44.84916667,6.8825,True
Hockenhorn ,3293.0,46.42833333,7.74416667,True
Keeskogel ,3291.0,47.13638889,12.31194444,False
Schlieferspitze ,3290.0,47.1225,12.24333333,False
M. Aig.tte / L'Asti ,3287.0,44.69138889,7.02666667,True
Petzeck ,3283.0,46.94805556,12.80472222,False
Pta di Pietra Rossa ,3283.0,46.32472222,10.4375,False
Ritzlihorn ,3282.0,46.63222222,8.25888889,False
Roter Knopf ,3281.0,46.97861111,12.73944444,False
Piz Fliana ,3281.0,46.82722222,10.10861111,False
Pta Rognosa di Sestriere ,3280.0,44.93472222,6.93111111,True
Pizzo Dosdè ,3280.0,46.41,10.22583333,False
Pizzo Tambo / Tambohorn ,3279.0,46.49694444,9.28333333,False
Hohe Weiße ,3279.0,46.74555556,11.03722222,False
Habicht ,3277.0,47.04361111,11.28972222,False
Gsallkopf ,3277.0,47.03777778,10.805,False
Basòdino ,3272.0,46.41138889,8.46861111,True
Helsenhorn ,3272.0,46.30472222,8.19166667,True
Pte d'Archeboc ,3272.0,45.58361111,6.98027778,True
Östliche Feuerstein ,3268.0,46.97166667,11.24444444,False
Clariden ,3267.0,46.84194444,8.87138889,False
Piz Üertsch ,3267.0,46.59638889,9.83638889,False
Antelao ,3264.0,46.4525,12.26055556,False
Scima da Saoseo ,3264.0,46.38555556,10.15805556,False
Piz Languard ,3262.0,46.48833333,9.95638889,False
Piz Forbesch ,3262.0,46.52027778,9.55916667,False
Dents du Midi: Haute Cime ,3257.0,46.16111111,6.92333333,True
Hasenöhrl ,3257.0,46.54444444,10.85861111,False
Gross Düssi / Piz Git ,3256.0,46.79166667,8.8275,True
Hocharn ,3254.0,47.07611111,12.93722222,False
Piz Tschütta / Stammerspitz ,3254.0,46.90361111,10.34305556,False
Sasseneire ,3254.0,46.13861111,7.52527778,True
Ankogel ,3252.0,47.05111111,13.24916667,False
Cavistrau / Brigelser Hörner ,3252.0,46.78444444,8.97388889,True
Rauhkofel ,3251.0,47.07611111,12.09194444,False
Großer Hornkopf ,3251.0,46.96722222,12.77888889,False
Wildhorn ,3248.0,46.35583333,7.36222222,True
Péne Blanche ,3248.0,45.61888889,7.42694444,True
Ringelspitz ,3247.0,46.89833333,9.34305556,True
Berrio Blanc ,3247.0,45.75305556,6.89777778,True
Piz Ot ,3246.0,46.54333333,9.81027778,False
Wasenhorn / Pta Terrarossa ,3246.0,46.26638889,8.08555556,True
Pta Painale ,3246.0,46.25666667,9.97388889,False
Platthorn ,3246.0,46.16638889,7.86111111,False
Tofana di Mezzo ,3244.0,46.55111111,12.06555556,False
Hohe Fürleg ,3244.0,47.14166667,12.36277778,False
Piz Bacun ,3244.0,46.34222222,9.68222222,False
Wildstrubel ,3243.0,46.40027778,7.52861111,True
Tête de Soulaure / Pic Félix Neff ,3243.0,44.7625,6.415,True
Hochschober ,3242.0,46.9425,12.69833333,False
Titlis ,3238.0,46.77194444,8.43777778,False
Grand Golliat ,3238.0,45.85916667,7.10166667,True
Becca du Merlo ,3237.0,45.84388889,7.47055556,True
Hoher Seeblaskogel ,3235.0,47.09555556,11.07472222,False
Pic des Houerts ,3235.0,44.58777778,6.76722222,True
Ofenhorn / Pta d'Arbola ,3235.0,46.38666667,8.31861111,True
